frame,fps,mean,std,meandiff,stddiff,spacial0,spacial1,spacial2,spacial3,spacial4,spacial5,spacial6,spacial7,spacial8,spacial9,central0,central1,central2,central3,central4,central5,central6,hu0,hu1,hu2,hu3,hu4,hu5,red0,red1,red2,red3,red4,red5,red6,red7,green0,green1,green2,green3,green4,green5,green6,green7,blue0,blue1,blue2,blue3,blue4,blue5,blue6,blue7,nsift,nsurf
87,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
88,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
89,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
90,29,0.01451968,0.1573171,0.01451968,0.1573171,5018,1762655,1217485,648497355,429810814,297101579,248344624799,158778463456,105357546840,72889687351,29335806.768633,2149191.306696,1711039.895775,-60101832.537323,-72147914.58252,-47156246.55048,-24431167.100983,1.23298,1.232719,0.013669,0.006547,6e-05,0.001862,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
91,29,0.05157407,0.4532188,0.03733218,0.3258018,17824,6191572,4319193,2255242586,1508619070,1053779047,856626545404,552042355736,369852119620,258716128713,104459157.410233,8249094.607495,7132493.406587,644182465.558594,-189338448.657543,-199928459.103905,-97174391.669037,0.351254,0.096549,0.000983,0.000155,0,1.2e-05,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
92,29,0.08194734,0.7698758,0.032636,0.3483464,28321,9874230,6868339,3606961510,2407342171,1676131937,1372609167144,883230430803,590234111719,411405026209,164271700.568836,12668289.287843,10439319.545779,479628684.80249,-354669119.364761,-300561034.13235,-149789058.190918,0.217823,0.037782,0.000151,1.6e-05,0,-3e-06,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
93,29,0.1099392,1.000104,0.02899306,0.2809205,37995,13223396,9210459,4824049762,3223038082,2247305319,1834365672374,1181176908208,790208763780,551636836443,221912592.03511,17522969.517726,14575881.161311,987688682.326172,-429589407.959717,-416248738.6434,-204579869.190308,0.163816,0.021217,7.8e-05,9e-06,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
94,29,0.1560995,1.427739,0.04890914,0.4505536,53948,18805306,13081109,6870591096,4584888097,3192440335,2615998826326,1682795637735,1124382235013,783779142059,315398433.554015,25047925.64325,20582014.582543,1149414467.11328,-622076248.438965,-592308576.085687,-293134031.293945,0.115442,0.010558,2.4e-05,3e-06,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
95,29,0.1843432,1.66795,0.0294184,0.2709076,63709,22184235,15446258,8097019461,5408050305,3769457874,3080276604147,1982948913593,1326158489543,925443123182,372203775.065124,29478716.329168,24509967.070618,1586080825.9458,-704528883.19902,-706019635.839553,-347477703.652344,0.097741,0.007549,1.6e-05,2e-06,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345596,4,0,0,0,0,0,0,,
96,29,0.234239,2.144251,0.05331019,0.4964044,80953,28208680,19617880,10301748398,6873724803,4785250882,3920618259124,2521878408099,1684845198037,1174281393562,472222286.028854,37727382.294158,31119278.546144,1797971912.80908,-905715662.9776,-896817295.076643,-443028230.642822,0.076806,0.004663,7e-06,1e-06,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,343899,1701,0,0,0,0,0,0,,
97,29,0.2494647,2.274472,0.01760417,0.176358,86215,30016084,20889996,10953565494,7313037222,5094983602,4166183527204,2681050582166,1792314663750,1250191246122,503350349.360947,40104731.184435,33312977.630506,2170829841.58594,-936465510.817444,-958329630.530071,-472826310.225098,0.0722,0.004115,6e-06,1e-06,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,343665,1935,0,0,0,0,0,0,,
98,29,0.2943721,2.700035,0.04968171,0.4565083,101735,35412349,24654068,12919886729,8629022575,6013668416,4912879643617,3162798823413,2115083532665,1475723714522,593406543.244843,47330332.549201,39096548.416336,2559919781.97461,-1106641550.88028,-1119300105.73217,-554537642.541016,0.061111,0.002952,4e-06,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,343221,2379,0,0,0,0,0,0,,
99,29,0.3392824,3.101787,0.04675637,0.4258008,117256,40842936,28413878,14909082350,9951518421,6930382110,5671297218870,3649369384589,2439041556267,1700582196770,682557301.387596,54317419.210684,45033274.981886,2623678977.86523,-1290818196.93488,-1293181569.26795,-637115925.931152,0.05292,0.002213,2e-06,0,0,0,345600,0,0,0,0,0,0,0,344393,1207,0,0,0,0,0,0,342911,2689,0,0,0,0,0,0,,
100,29,0.3728848,3.392926,0.03492187,0.3195661,128869,44871098,31230975,16374731902,10934039813,7618276569,6227654192720,4008506538279,2680125975781,1869579958017,750994341.177738,59677942.724371,49553296.136666,3130984972.35059,-1414174195.77481,-1419121901.57161,-702271030.702881,0.048205,0.001836,2e-06,0,0,0,345600,0,0,0,0,0,0,0,343591,2009,0,0,0,0,0,0,342757,2843,0,0,0,0,0,0,,
101,29,0.4175058,3.812092,0.04815104,0.4409904,144290,50250853,34972213,18340889841,12246166836,8531870921,6976163783773,4490175020668,3002041028710,2094023782687,840382340.635391,66642721.039232,55499154.991482,3364433745.87109,-1606899672.37775,-1598019985.77157,-787109800.923096,0.043031,0.001462,1e-06,0,0,0,345600,0,0,0,0,0,0,0,343250,2350,0,0,0,0,0,0,342547,2718,335,0,0,0,0,0,,
102,29,0.4403385,4.019262,0.02463831,0.2390375,152181,52996928,36879907,19343852530,12913907232,8996030523,7358429351072,4735266879828,3165354557528,2207626315993,887709007.239712,70505125.786375,58465778.855536,3657990269.42481,-1675264578.84146,-1679611502.84452,-830679500.200684,0.040855,0.001319,1e-06,0,0,0,345595,5,0,0,0,0,0,0,343150,2450,0,0,0,0,0,0,342453,1964,1183,0,0,0,0,0,,
103,29,0.4877286,4.434941,0.04980903,0.4422774,168559,58705765,40849028,21428760065,14305028088,9964465984,8151813451495,5245667160296,3506419577740,2445402229172,982703525.537704,78119775.501587,65005922.272154,4087865278.59668,-1849627685.44708,-1870292280.78686,-919874445.045898,0.036875,0.001073,1e-06,0,0,0,345516,84,0,0,0,0,0,0,342961,2639,0,0,0,0,0,0,342235,1512,1853,0,0,0,0,0,,
